neo_id,name,close_approach_date,miss_distance_km,relative_velocity_km_s,diameter_m,mass_kg,kinetic_energy_kt_TNT,palermo_proxy,risk_cluster
2478784,478784 (2012 UV136),2025-06-02,50442662.030530624,13.7531262564,32.62440628075,54544093.40504405,1232.903018649219,0.563056330258445,Low
3727041,(2015 RQ35),2025-06-02,70450034.09823312,3.3194961751,59.36666012065,328660663.44825333,432.7832074224603,-0.03668539439246179,Low
3745113,(2016 EL27),2025-06-02,54278219.47200928,7.1481065701,25.9144870499,27336803.284331214,166.91989141032784,-0.33719208718763294,Low
3892309,(2019 VF1),2025-06-02,23118633.903665584,22.3942403678,108.0295623944,1980376333.265571,118685.79052994282,2.8853619711467475,Low
54100202,(2020 XS5),2025-06-02,36304847.90242061,11.3886266855,19.65814874445,11932947.436466796,184.95614735367803,-0.11797043913587953,Low
54217979,(2021 VO7),2025-06-02,13826677.560925543,17.9559765286,202.0889730028,12964259860.235643,499509.9161416812,3.732751691010006,Low
54236938,(2022 AS6),2025-06-02,67730585.4647668,7.4375236135,46.2959091233,155864685.51081824,1030.3452451516785,0.3571233536213133,Low
54265895,(2022 FG3),2025-06-02,27072512.953021,12.5905061155,28.54582617205,36538248.7064847,692.1694589107765,0.582609274563038,Low
54533419,(2025 KC4),2025-06-02,4080546.961756066,6.6667626454,28.38851118465,35937488.87576293,190.8780733673788,0.8449630744499049,Medium
3483652,(2009 XL8),2025-06-01,42546601.58766657,12.1795072264,129.8801007541,3441499633.186955,61007.817803215,2.33144602647019,Low
3621019,(2012 XK134),2025-06-01,52836418.92717146,5.9449354884,22.57057467285,18061246.81942713,76.28169744189512,-0.6655876143658338,Low
3656933,(2014 BM25),2025-06-01,73526422.71096711,5.5104921484,10.3167431158,1724835.680695467,6.259027099794822,-1.8950111927353486,Low
3791015,(2017 XS),2025-06-01,69708588.09922777,18.7490383814,124.03453329185,2997420875.3506804,125916.90848168657,2.4317231778897725,Low
3797498,(2018 AG4),2025-06-01,27734097.10151301,11.1388579249,25.9144870499,27336803.284331214,405.3287274997508,0.3397187655594315,Low
3893404,(2019 WS1),2025-06-01,26404653.71243483,6.4745335175,49.60696037915,191755455.05654803,960.6009748240544,0.7357879588282206,Low
54522542,(2025 DM36),2025-06-01,20654856.94606232,12.9464988014,247.481430032,23809360326.43559,476903.7385711456,3.5383339476059934,Low
54533745,(2025 KP7),2025-06-01,19516064.61302188,18.0121232115,85.29874017125,974872293.4192828,37796.87324748793,2.461989038999159,Low
54533827,(2025 KS8),2025-06-01,2449276.884857776,10.3129981119,24.5890990767,23353271.45879352,296.821894406594,1.2583834607542541,Medium
